table_name,constraint_type,column_name,foreign_table,foreign_column
sessions,PRIMARY KEY,id,sessions,id
sessions,PRIMARY KEY,id,sessions,id
sessions,CHECK,null,sessions,status
clients,UNIQUE,coach_id,clients,client_id
clients,UNIQUE,coach_id,clients,coach_id
clients,UNIQUE,client_id,clients,client_id
clients,UNIQUE,client_id,clients,coach_id
clients,PRIMARY KEY,id,clients,id
clients,CHECK,null,clients,status
challenges,CHECK,null,challenges,challenge_type
challenges,FOREIGN KEY,created_by,profiles,id
challenges,PRIMARY KEY,id,challenges,id
challenges,FOREIGN KEY,program_id,workout_programs,id
challenges,CHECK,null,challenges,recomp_track
challenges,CHECK,null,challenges,status
challenge_participants,UNIQUE,challenge_id,challenge_participants,challenge_id
challenge_participants,UNIQUE,challenge_id,challenge_participants,client_id
challenge_participants,UNIQUE,client_id,challenge_participants,challenge_id
challenge_participants,UNIQUE,client_id,challenge_participants,client_id
challenge_participants,FOREIGN KEY,challenge_id,challenges,id
challenge_participants,FOREIGN KEY,client_id,profiles,id
challenge_participants,PRIMARY KEY,id,challenge_participants,id
challenge_participants,CHECK,null,challenge_participants,selected_track
challenge_participants,CHECK,null,challenge_participants,status
exercise_instructions,FOREIGN KEY,exercise_id,exercises,id
exercise_instructions,PRIMARY KEY,id,exercise_instructions,id
exercise_instructions,UNIQUE,exercise_id,exercise_instructions,exercise_id
exercise_instructions,UNIQUE,exercise_id,exercise_instructions,instruction_order
exercise_instructions,UNIQUE,instruction_order,exercise_instructions,exercise_id
exercise_instructions,UNIQUE,instruction_order,exercise_instructions,instruction_order
exercise_tips,FOREIGN KEY,exercise_id,exercises,id
exercise_tips,PRIMARY KEY,id,exercise_tips,id
exercise_tips,UNIQUE,exercise_id,exercise_tips,exercise_id
exercise_tips,UNIQUE,exercise_id,exercise_tips,tip_order
exercise_tips,UNIQUE,tip_order,exercise_tips,exercise_id
exercise_tips,UNIQUE,tip_order,exercise_tips,tip_order
leaderboard_rankings,UNIQUE,client_id,leaderboard_rankings,category
leaderboard_rankings,UNIQUE,client_id,leaderboard_rankings,client_id
leaderboard_rankings,UNIQUE,client_id,leaderboard_rankings,sex_filter
leaderboard_rankings,UNIQUE,client_id,leaderboard_rankings,time_filter
leaderboard_rankings,UNIQUE,category,leaderboard_rankings,category
leaderboard_rankings,UNIQUE,category,leaderboard_rankings,client_id
