schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,sessions,Clients can view their sessions,PERMISSIVE,{public},SELECT,(client_id = auth.uid()),null
public,sessions,Coaches can manage their sessions,PERMISSIVE,{public},ALL,(coach_id = auth.uid()),null
public,clients,Clients can view their coach relationship,PERMISSIVE,{public},SELECT,(client_id = auth.uid()),null
public,clients,Coaches can view their clients,PERMISSIVE,{public},SELECT,(coach_id = auth.uid()),null
public,clients,clients_manage_coach,PERMISSIVE,{public},ALL,(coach_id = auth.uid()),(coach_id = auth.uid())
public,challenges,challenges_manage_coach,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text, 'super_coach'::text, 'supercoach'::text])))))",null
public,challenges,challenges_select_public,PERMISSIVE,{public},SELECT,((is_public = true) AND (status = 'active'::text)),null
public,challenge_participants,participants_insert_own,PERMISSIVE,{public},INSERT,null,(client_id = auth.uid())
public,challenge_participants,participants_select_coach,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['coach'::text, 'admin'::text, 'super_coach'::text, 'supercoach'::text])))))",null
public,challenge_participants,participants_select_own,PERMISSIVE,{public},SELECT,(client_id = auth.uid()),null
public,exercise_instructions,Anyone can read exercise instructions,PERMISSIVE,{public},SELECT,true,null
public,exercise_instructions,Coaches can manage their exercise instructions,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM (exercises e
     JOIN profiles p ON ((e.coach_id = p.id)))
  WHERE ((e.id = exercise_instructions.exercise_id) AND (p.id = auth.uid()) AND (p.role = 'coach'::text))))",null
public,exercise_tips,Anyone can read exercise tips,PERMISSIVE,{public},SELECT,true,null
public,exercise_tips,Coaches can manage their exercise tips,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM (exercises e
     JOIN profiles p ON ((e.coach_id = p.id)))
  WHERE ((e.id = exercise_tips.exercise_id) AND (p.id = auth.uid()) AND (p.role = 'coach'::text))))",null
public,leaderboard_rankings,Anyone can view leaderboard rankings,PERMISSIVE,{authenticated},SELECT,true,null
public,leaderboard_rankings,System can manage rankings,PERMISSIVE,{authenticated},ALL,false,false
public,exercise_muscle_groups,Anyone can read exercise muscle groups,PERMISSIVE,{public},SELECT,true,null
public,exercise_muscle_groups,Coaches can manage their exercise muscle groups,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM (exercises e
     JOIN profiles p ON ((e.coach_id = p.id)))
  WHERE ((e.id = exercise_muscle_groups.exercise_id) AND (p.id = auth.uid()) AND (p.role = 'coach'::text))))",null
public,exercise_equipment,Anyone can read exercise equipment,PERMISSIVE,{public},SELECT,true,null
public,exercise_equipment,Coaches can manage their exercise equipment,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM (exercises e
     JOIN profiles p ON ((e.coach_id = p.id)))
  WHERE ((e.id = exercise_equipment.exercise_id) AND (p.id = auth.uid()) AND (p.role = 'coach'::text))))",null
public,workout_set_details,Users can insert their own workout set details,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM (workout_exercise_logs wel
     JOIN workout_logs wl ON ((wel.workout_log_id = wl.id)))
  WHERE ((wel.id = workout_set_details.workout_exercise_log_id) AND (wl.client_id = auth.uid()))))"
public,workout_set_details,Users can read their own workout set details,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM (workout_exercise_logs wel
     JOIN workout_logs wl ON ((wel.workout_log_id = wl.id)))
  WHERE ((wel.id = workout_set_details.workout_exercise_log_id) AND (wl.client_id = auth.uid()))))",null
public,workout_set_details,workout_set_details_update,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM (workout_exercise_logs wel
     JOIN workout_logs wl ON ((wel.workout_log_id = wl.id)))
  WHERE ((wel.id = workout_set_details.workout_exercise_log_id) AND (wl.client_id = auth.uid()))))","(EXISTS ( SELECT 1
   FROM (workout_exercise_logs wel
     JOIN workout_logs wl ON ((wel.workout_log_id = wl.id)))
  WHERE ((wel.id = workout_set_details.workout_exercise_log_id) AND (wl.client_id = auth.uid()))))"
public,assigned_meal_plans,assigned_meal_plans_delete,PERMISSIVE,{public},DELETE,"((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,assigned_meal_plans,assigned_meal_plans_insert,PERMISSIVE,{public},INSERT,null,"((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,assigned_meal_plans,assigned_meal_plans_select,PERMISSIVE,{public},SELECT,"((client_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM clients
  WHERE ((clients.client_id = assigned_meal_plans.client_id) AND (clients.coach_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
public,assigned_meal_plans,assigned_meal_plans_update,PERMISSIVE,{public},UPDATE,"((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))","((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))"
public,assigned_workouts,Coaches can manage workouts,PERMISSIVE,{public},ALL,(coach_id = auth.uid()),null
public,assigned_workouts,Users can see workouts assigned to them,PERMISSIVE,{public},SELECT,((coach_id = auth.uid()) OR (client_id = auth.uid())),null
public,meal_completions,Clients can insert their own meal completions,PERMISSIVE,{public},INSERT,null,(client_id = auth.uid())
public,meal_completions,Clients can read their own meal completions,PERMISSIVE,{public},SELECT,(client_id = auth.uid()),null
public,meal_completions,Coaches can read client meal completions,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM clients c
  WHERE ((c.client_id = meal_completions.client_id) AND (c.coach_id = auth.uid()) AND (c.status = 'active'::text))))",null
public,clip_cards,clip_cards_delete,PERMISSIVE,{public},DELETE,"((coach_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))))",null
