schemaname,tablename,tableowner,tablespace,hasindexes,hasrules,hastriggers,rowsecurity
public,sessions,postgres,null,true,false,false,true
public,clients,postgres,null,true,false,true,true
public,challenges,postgres,null,true,false,true,true
public,challenge_participants,postgres,null,true,false,true,true
public,exercise_instructions,postgres,null,true,false,true,true
public,exercise_tips,postgres,null,true,false,true,true
public,leaderboard_rankings,postgres,null,true,false,true,true
public,exercise_muscle_groups,postgres,null,true,false,true,true
public,exercise_equipment,postgres,null,true,false,true,true
public,workout_set_details,postgres,null,true,false,true,true
public,assigned_meal_plans,postgres,null,true,false,true,true
public,assigned_workouts,postgres,null,true,false,true,true
public,meal_completions,postgres,null,true,false,true,true
public,clip_cards,postgres,null,true,false,true,true
public,meal_plans,postgres,null,true,false,true,true
public,meals,postgres,null,true,false,true,true
public,workout_giant_set_exercise_logs,postgres,null,true,false,true,true
public,foods,postgres,null,true,false,true,true
public,meal_plan_assignments,postgres,null,true,false,true,true
public,challenge_scoring_categories,postgres,null,true,false,true,true
public,challenge_video_submissions,postgres,null,true,false,true,true
public,muscle_groups,postgres,null,true,false,true,false
public,profiles,postgres,null,true,false,true,true
public,meal_food_items,postgres,null,true,false,true,true
public,progression_guidelines,postgres,null,true,false,false,false
public,workout_set_logs,postgres,null,true,false,true,true
public,exercise_categories,postgres,null,true,false,true,true
public,invite_codes,postgres,null,true,false,true,true
public,meal_items,postgres,null,true,false,true,true
public,program_schedule,postgres,null,true,false,true,true
public,daily_workout_cache,postgres,null,true,false,true,true
public,clipcard_types,postgres,null,true,false,true,true
public,workout_block_exercises,postgres,null,true,false,true,true
public,coach_availability,postgres,null,true,false,true,true
public,workout_cluster_sets,postgres,null,true,false,true,true
public,workout_templates,postgres,null,true,false,true,true
public,workout_blocks,postgres,null,true,false,true,true
public,clipcards,postgres,null,true,false,true,true
public,program_days,postgres,null,true,false,true,true
public,workout_assignments,postgres,null,true,false,true,true
public,workout_block_assignments,postgres,null,true,false,true,true
public,workout_exercise_assignments,postgres,null,true,false,true,true
public,program_day_assignments,postgres,null,true,false,true,true
public,program_assignments,postgres,null,true,false,true,true
public,workout_time_protocols,postgres,null,true,false,true,true
public,workout_programs,postgres,null,true,false,true,true
public,workout_ladder_sets,postgres,null,true,false,true,true
public,workout_rest_pause_sets,postgres,null,true,false,true,true
public,workout_categories,postgres,null,true,false,true,true
public,workout_sessions,postgres,null,true,false,true,true
public,meal_photo_logs,postgres,null,true,false,true,true
public,habits,postgres,null,true,false,true,true
public,habit_assignments,postgres,null,true,false,true,true
public,habit_logs,postgres,null,true,false,true,true
public,leaderboard_titles,postgres,null,true,false,true,true
public,client_workout_block_exercises,postgres,null,true,false,true,true
public,client_workout_blocks,postgres,null,true,false,true,true
public,meal_plan_items,postgres,null,true,false,true,true
public,program_assignment_progress,postgres,null,true,false,true,true
public,program_workout_completions,postgres,null,true,false,true,true
public,performance_tests,postgres,null,true,false,true,true
public,coach_time_slots,postgres,null,true,false,true,true
public,booked_sessions,postgres,null,true,false,true,true
public,exercise_alternatives,postgres,null,true,false,true,true
public,workout_hr_sets,postgres,null,true,false,true,true
public,workout_logs,postgres,null,true,false,true,true
public,exercises,postgres,null,true,false,true,true
public,body_metrics,postgres,null,true,false,true,true
public,fms_assessments,postgres,null,true,false,true,true
public,achievements,postgres,null,true,false,true,true
public,personal_records,postgres,null,true,false,true,true
public,workout_exercise_logs,postgres,null,true,false,true,true
public,mobility_metrics,postgres,null,true,false,true,true
public,goals,postgres,null,true,false,true,true
public,leaderboard_entries,postgres,null,true,false,true,true
public,user_exercise_metrics,postgres,null,true,false,true,true
public,client_program_progression_rules,postgres,null,true,false,true,true
public,program_progression_rules,postgres,null,true,false,true,true
public,workout_drop_sets,postgres,null,true,false,true,true
public,workout_pyramid_sets,postgres,null,true,false,true,true
public,achievement_templates,postgres,null,true,false,true,true
public,user_achievements,postgres,null,true,false,true,true
public,rp_volume_landmarks,postgres,null,true,false,true,false
public,volume_guidelines,postgres,null,true,false,false,false
