schema,table_name,constraint_name,constraint_def
public,achievements,achievements_achievement_type_check,"CHECK ((achievement_type = ANY (ARRAY['milestone'::text, 'goal_completion'::text, 'personal_record'::text, 'consistency'::text, 'progress'::text, 'workout_streak'::text, 'assessment_improvement'::text])))"
public,body_metrics,body_metrics_visceral_fat_level_check,CHECK (((visceral_fat_level >= 0) AND (visceral_fat_level <= 25)))
public,booked_sessions,valid_rating,CHECK (((session_rating IS NULL) OR ((session_rating >= 1) AND (session_rating <= 5))))
public,booked_sessions,valid_session_type,"CHECK ((session_type = ANY (ARRAY['personal_training'::text, 'nutrition_consultation'::text, 'check_in'::text, 'assessment'::text])))"
public,booked_sessions,valid_status,"CHECK ((status = ANY (ARRAY['scheduled'::text, 'completed'::text, 'cancelled'::text, 'no_show'::text])))"
public,challenge_participants,challenge_participants_selected_track_check,"CHECK ((selected_track = ANY (ARRAY['fat_loss'::text, 'muscle_gain'::text])))"
public,challenge_participants,challenge_participants_status_check,"CHECK ((status = ANY (ARRAY['registered'::text, 'active'::text, 'completed'::text, 'withdrawn'::text])))"
public,challenge_scoring_categories,challenge_scoring_categories_scoring_method_check,"CHECK ((scoring_method = ANY (ARRAY['pr_improvement'::text, 'bw_multiple'::text, 'tonnage'::text, 'waist_delta'::text, 'muscle_gain_bw_multiple'::text, 'adherence_percentage'::text])))"
public,challenge_video_submissions,challenge_video_submissions_status_check,"CHECK ((status = ANY (ARRAY['pending'::text, 'approved'::text, 'rejected'::text])))"
public,challenges,challenges_challenge_type_check,"CHECK ((challenge_type = ANY (ARRAY['coach_challenge'::text, 'recomp_challenge'::text])))"
public,challenges,challenges_recomp_track_check,"CHECK ((recomp_track = ANY (ARRAY['fat_loss'::text, 'muscle_gain'::text, 'both'::text])))"
public,challenges,challenges_status_check,"CHECK ((status = ANY (ARRAY['draft'::text, 'active'::text, 'completed'::text, 'cancelled'::text])))"
public,clients,clients_status_check,"CHECK ((status = ANY (ARRAY['active'::text, 'inactive'::text, 'pending'::text])))"
public,coach_availability,coach_availability_day_of_week_check,CHECK (((day_of_week >= 0) AND (day_of_week <= 6)))
public,coach_time_slots,valid_recurring_end,CHECK ((((recurring_pattern IS NULL) AND (recurring_end_date IS NULL)) OR ((recurring_pattern IS NOT NULL) AND (recurring_end_date >= date))))
public,coach_time_slots,valid_time_range,CHECK ((end_time > start_time))
public,exercise_alternatives,exercise_alternatives_reason_check,"CHECK ((reason = ANY (ARRAY['equipment'::text, 'difficulty'::text, 'injury'::text, 'preference'::text])))"
public,fms_assessments,fms_assessments_active_straight_leg_raise_left_check,CHECK (((active_straight_leg_raise_left >= 0) AND (active_straight_leg_raise_left <= 3)))
public,fms_assessments,fms_assessments_active_straight_leg_raise_right_check,CHECK (((active_straight_leg_raise_right >= 0) AND (active_straight_leg_raise_right <= 3)))
public,fms_assessments,fms_assessments_deep_squat_check,CHECK (((deep_squat >= 0) AND (deep_squat <= 3)))
public,fms_assessments,fms_assessments_hurdle_step_left_check,CHECK (((hurdle_step_left >= 0) AND (hurdle_step_left <= 3)))
public,fms_assessments,fms_assessments_hurdle_step_right_check,CHECK (((hurdle_step_right >= 0) AND (hurdle_step_right <= 3)))
public,fms_assessments,fms_assessments_inline_lunge_left_check,CHECK (((inline_lunge_left >= 0) AND (inline_lunge_left <= 3)))
public,fms_assessments,fms_assessments_inline_lunge_right_check,CHECK (((inline_lunge_right >= 0) AND (inline_lunge_right <= 3)))
public,fms_assessments,fms_assessments_rotary_stability_left_check,CHECK (((rotary_stability_left >= 0) AND (rotary_stability_left <= 3)))
public,fms_assessments,fms_assessments_rotary_stability_right_check,CHECK (((rotary_stability_right >= 0) AND (rotary_stability_right <= 3)))
public,fms_assessments,fms_assessments_shoulder_mobility_left_check,CHECK (((shoulder_mobility_left >= 0) AND (shoulder_mobility_left <= 3)))
public,fms_assessments,fms_assessments_shoulder_mobility_right_check,CHECK (((shoulder_mobility_right >= 0) AND (shoulder_mobility_right <= 3)))
