table_schema,table_name,column_name,data_type,is_nullable,column_default
public,achievement_templates,id,uuid,NO,gen_random_uuid()
public,achievement_templates,name,text,NO,null
public,achievement_templates,description,text,YES,null
public,achievement_templates,icon,text,YES,null
public,achievement_templates,category,text,NO,null
public,achievement_templates,achievement_type,text,NO,null
public,achievement_templates,is_tiered,boolean,NO,false
public,achievement_templates,tier_bronze_threshold,numeric,YES,null
public,achievement_templates,tier_bronze_label,text,YES,null
public,achievement_templates,tier_silver_threshold,numeric,YES,null
public,achievement_templates,tier_silver_label,text,YES,null
public,achievement_templates,tier_gold_threshold,numeric,YES,null
public,achievement_templates,tier_gold_label,text,YES,null
public,achievement_templates,tier_platinum_threshold,numeric,YES,null
public,achievement_templates,tier_platinum_label,text,YES,null
public,achievement_templates,single_threshold,numeric,YES,null
public,achievement_templates,is_active,boolean,NO,true
public,achievement_templates,created_at,timestamp with time zone,YES,now()
public,achievement_templates,updated_at,timestamp with time zone,YES,now()
public,achievements,id,uuid,NO,gen_random_uuid()
public,achievements,client_id,uuid,NO,null
public,achievements,title,text,NO,null
public,achievements,description,text,YES,null
public,achievements,achievement_type,text,NO,null
public,achievements,metric_type,text,YES,null
public,achievements,metric_value,numeric,YES,null
public,achievements,metric_unit,text,YES,null
public,achievements,achieved_date,date,NO,CURRENT_DATE
public,achievements,is_public,boolean,YES,true
public,achievements,goal_id,uuid,YES,null
public,achievements,workout_id,uuid,YES,null
public,achievements,created_at,timestamp with time zone,YES,now()
public,assigned_meal_plans,id,bigint,NO,null
public,assigned_meal_plans,client_id,uuid,NO,null
public,assigned_meal_plans,coach_id,uuid,NO,null
public,assigned_meal_plans,meal_plan_template_id,bigint,NO,null
public,assigned_meal_plans,assigned_date,date,NO,null
public,assigned_workouts,id,bigint,NO,null
public,assigned_workouts,client_id,uuid,NO,null
public,assigned_workouts,coach_id,uuid,NO,null
public,assigned_workouts,workout_template_id,bigint,NO,null
public,assigned_workouts,assigned_date,date,NO,null
public,assigned_workouts,status,text,YES,'pending'::text
public,body_metrics,id,uuid,NO,gen_random_uuid()
public,body_metrics,client_id,uuid,NO,null
public,body_metrics,coach_id,uuid,YES,null
public,body_metrics,weight_kg,numeric,YES,null
public,body_metrics,body_fat_percentage,numeric,YES,null
public,body_metrics,muscle_mass_kg,numeric,YES,null
public,body_metrics,visceral_fat_level,integer,YES,null
